antecedents,consequents,support,confidence,lift
"supervisor=9.0, structures_binned=structures_low, district=MISSION",sf_find_neighborhood=Mission,0.0544,0.941,15.954
"supervisor=9.0, district=MISSION","structures_binned=structures_low, sf_find_neighborhood=Mission",0.0544,0.941,15.954
"structures_binned=structures_low, sf_find_neighborhood=Mission","supervisor=9.0, district=MISSION",0.0544,0.922,15.954
sf_find_neighborhood=Mission,"supervisor=9.0, structures_binned=structures_low, district=MISSION",0.0544,0.922,15.954
"supervisor=9.0, district=MISSION","underserved=False, sf_find_neighborhood=Mission",0.0544,0.941,15.954
"supervisor=9.0, district=MISSION","sf_find_neighborhood=Mission, tents_binned=tents_low",0.0544,0.941,15.954
"supervisor=9.0, district=MISSION, tents_binned=tents_low",sf_find_neighborhood=Mission,0.0544,0.941,15.954
sf_find_neighborhood=Mission,"supervisor=9.0, underserved=False, district=MISSION",0.0544,0.922,15.954
"underserved=False, sf_find_neighborhood=Mission","supervisor=9.0, district=MISSION",0.0544,0.922,15.954
"supervisor=9.0, underserved=False, district=MISSION",sf_find_neighborhood=Mission,0.0544,0.941,15.954
sf_find_neighborhood=Mission,"supervisor=9.0, district=MISSION, tents_binned=tents_low",0.0544,0.922,15.954
"sf_find_neighborhood=Mission, tents_binned=tents_low","supervisor=9.0, district=MISSION",0.0544,0.922,15.954
"supervisor=9.0, district=MISSION, tents_binned=tents_low","structures_binned=structures_low, underserved=False, sf_find_neighborhood=Mission",0.0544,0.941,15.954
"supervisor=9.0, structures_binned=structures_low, district=MISSION","underserved=False, sf_find_neighborhood=Mission, tents_binned=tents_low",0.0544,0.941,15.954
"underserved=False, sf_find_neighborhood=Mission","supervisor=9.0, structures_binned=structures_low, district=MISSION, tents_binned=tents_low",0.0544,0.922,15.954
"sf_find_neighborhood=Mission, tents_binned=tents_low","supervisor=9.0, structures_binned=structures_low, underserved=False, district=MISSION",0.0544,0.922,15.954
"structures_binned=structures_low, sf_find_neighborhood=Mission","supervisor=9.0, district=MISSION, underserved=False, tents_binned=tents_low",0.0544,0.922,15.954
sf_find_neighborhood=Mission,"underserved=False, tents_binned=tents_low, supervisor=9.0, structures_binned=structures_low, district=MISSION",0.0544,0.922,15.954
"structures_binned=structures_low, underserved=False, sf_find_neighborhood=Mission","supervisor=9.0, district=MISSION, tents_binned=tents_low",0.0544,0.922,15.954
"underserved=False, sf_find_neighborhood=Mission, tents_binned=tents_low","supervisor=9.0, structures_binned=structures_low, district=MISSION",0.0544,0.922,15.954
