antecedents,consequents,support,confidence,lift
"neighborhood=Tenderloin, dist_to_bathroom_m_binned=dist_to_bathroom_m_low, status=Closed","encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0",0.0372,0.709,13.578
"encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0","neighborhood=Tenderloin, dist_to_bathroom_m_binned=dist_to_bathroom_m_low, status=Closed",0.0372,0.712,13.578
"encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0, underserved=False","neighborhood=Tenderloin, status=Closed, dist_to_bathroom_m_binned=dist_to_bathroom_m_low, dist_to_encampment_m_binned=dist_to_encampment_m_low",0.0372,0.712,13.578
"neighborhood=Tenderloin, status=Closed, dist_to_bathroom_m_binned=dist_to_bathroom_m_low, underserved=False","encampments_within_500m_binned=encampments_within_500m_high, dist_to_encampment_m_binned=dist_to_encampment_m_low, supervisor_district=5.0, kmeans_cluster=3",0.0372,0.709,13.578
"encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0, dist_to_bathroom_m_binned=dist_to_bathroom_m_low","neighborhood=Tenderloin, status=Closed",0.0372,0.712,13.578
"underserved=False, dist_to_encampment_m_binned=dist_to_encampment_m_low, supervisor_district=5.0, encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, dist_to_bathroom_m_binned=dist_to_bathroom_m_low","neighborhood=Tenderloin, status=Closed",0.0372,0.712,13.578
"underserved=False, neighborhood=Tenderloin, dist_to_encampment_m_binned=dist_to_encampment_m_low, dist_to_bathroom_m_binned=dist_to_bathroom_m_low, status=Closed","encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0",0.0372,0.709,13.578
"dist_to_encampment_m_binned=dist_to_encampment_m_low, supervisor_district=5.0, encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, dist_to_bathroom_m_binned=dist_to_bathroom_m_low","neighborhood=Tenderloin, status=Closed, underserved=False",0.0372,0.712,13.578
"underserved=False, dist_to_encampment_m_binned=dist_to_encampment_m_low, supervisor_district=5.0, encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3","neighborhood=Tenderloin, dist_to_bathroom_m_binned=dist_to_bathroom_m_low, status=Closed",0.0372,0.712,13.578
"neighborhood=Tenderloin, status=Closed, underserved=False","dist_to_encampment_m_binned=dist_to_encampment_m_low, supervisor_district=5.0, encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, dist_to_bathroom_m_binned=dist_to_bathroom_m_low",0.0372,0.709,13.578
"encampments_within_500m_binned=encampments_within_500m_high, dist_to_encampment_m_binned=dist_to_encampment_m_low, supervisor_district=5.0, kmeans_cluster=3","neighborhood=Tenderloin, status=Closed, dist_to_bathroom_m_binned=dist_to_bathroom_m_low, underserved=False",0.0372,0.712,13.578
"neighborhood=Tenderloin, status=Closed","encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0, dist_to_bathroom_m_binned=dist_to_bathroom_m_low",0.0372,0.709,13.578
"neighborhood=Tenderloin, status=Closed, dist_to_bathroom_m_binned=dist_to_bathroom_m_low, dist_to_encampment_m_binned=dist_to_encampment_m_low","encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0, underserved=False",0.0372,0.709,13.578
"neighborhood=Tenderloin, status=Closed, dist_to_encampment_m_binned=dist_to_encampment_m_low, underserved=False","encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0, dist_to_bathroom_m_binned=dist_to_bathroom_m_low",0.0372,0.709,13.578
"underserved=False, supervisor_district=5.0, encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, dist_to_bathroom_m_binned=dist_to_bathroom_m_low","neighborhood=Tenderloin, status=Closed, dist_to_encampment_m_binned=dist_to_encampment_m_low",0.0372,0.712,13.578
"underserved=False, dist_to_encampment_m_binned=dist_to_encampment_m_low, supervisor_district=5.0, encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3","neighborhood=Tenderloin, status=Closed",0.0372,0.712,13.578
"neighborhood=Tenderloin, status=Closed, dist_to_encampment_m_binned=dist_to_encampment_m_low, underserved=False","encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0",0.0372,0.709,13.578
"neighborhood=Tenderloin, status=Closed, dist_to_encampment_m_binned=dist_to_encampment_m_low","encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0, underserved=False",0.0372,0.709,13.578
"neighborhood=Tenderloin, status=Closed","underserved=False, dist_to_encampment_m_binned=dist_to_encampment_m_low, supervisor_district=5.0, encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3",0.0372,0.709,13.578
"encampments_within_500m_binned=encampments_within_500m_high, kmeans_cluster=3, supervisor_district=5.0","neighborhood=Tenderloin, status=Closed, dist_to_encampment_m_binned=dist_to_encampment_m_low, underserved=False",0.0372,0.712,13.578
