observed_month,district,point,latitude,longitude,sf_find_neighborhood,supervisor,other_vehicles,passenger_vehicles,structures,tents,data_loaded_at,data_as_of,dist_to_bathroom_m,bathrooms_within_500m,needles_within_500m,underserved,kmeans_cluster,dbscan_cluster
2025-06-01,TARAVAL,POINT (-122.474620007 37.713790632),37.71379063176,-122.47462000698,Parkmerced,7.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,492.9611200003096,1,4,False,1,16
2025-06-01,MISSION,POINT (-122.419746369 37.77022232),37.7702223202,-122.41974636912,South of Market,6.0,0,0,0,1,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,253.3034863664663,2,4785,False,2,22
2025-06-01,TARAVAL,POINT (-122.472641207 37.711458436),37.71145843642,-122.47264120728,Lakeshore,7.0,0,2,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,564.3675437844528,0,5,False,1,-1
2025-06-01,TARAVAL,POINT (-122.473134734 37.713472621),37.7134726215,-122.47313473374,Parkmerced,7.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,426.58399427714176,4,5,False,1,16
2025-06-01,INGLESIDE,POINT (-122.453785948 37.711359238),37.71135923758,-122.45378594846,Outer Mission,11.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,280.3037990824904,5,26,False,0,0
2025-06-01,SOUTHERN,POINT (-122.423228547 37.771930134),37.77193013366,-122.42322854698,South of Market,8.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,368.4694514723524,2,4589,False,2,18
2025-06-01,SOUTHERN,POINT (-122.420556061 37.771697975),37.77169797512,-122.42055606097,South of Market,6.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,384.22288721246633,1,4988,False,2,1
2025-06-01,TARAVAL,POINT (-122.465590686 37.711784943),37.71178494288,-122.46559068561,Merced Heights,7.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,209.1205677582601,1,20,False,0,0
2025-06-01,SOUTHERN,POINT (-122.420728058 37.772671393),37.77267139299,-122.42072805762,South of Market,6.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,435.2982941070282,2,5055,False,2,1
2025-06-01,INGLESIDE,POINT (-122.444899455 37.712562081),37.71256208082,-122.44489945471,Outer Mission,11.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,296.6692261644143,5,29,False,0,0
2025-06-01,RICHMOND,POINT (-122.497818748 37.765536966),37.76553696588,-122.49781874755,Golden Gate Park,1.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,246.23195217351451,8,33,False,4,2
2025-06-01,SOUTHERN,POINT (-122.420720346 37.773121392),37.77312139235,-122.42072034627,South of Market,6.0,1,0,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,410.8432643484245,1,5172,False,2,1
2025-06-01,INGLESIDE,POINT (-122.449261397 37.710054257),37.71005425657,-122.44926139712,Outer Mission,11.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,197.6099607758499,5,22,False,0,0
2025-06-01,INGLESIDE,POINT (-122.447011024 37.710770408),37.71077040753,-122.44701102376,Crocker Amazon,11.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,91.17980973527952,5,22,False,0,-1
2025-06-01,TARAVAL,POINT (-122.460533716 37.709710767),37.70971076689,-122.46053371578,Outer Mission,11.0,0,1,0,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,455.7622422817548,2,22,False,1,-1
2025-06-01,SOUTHERN,POINT (-122.419093922 37.773523951),37.7735239513,-122.41909392178,South of Market,6.0,0,0,1,0,2025/10/02 03:43:38 PM,2025/10/02 02:02:39 PM,494.8938304116125,1,5505,False,2,1
