latitude,longitude,resource_type,access,supervisor_district,analysis_neighborhood,needles_within_500m,encampments_within_500m
37.7858991,-122.4119361,restroom,publicly_accessible,5.0,Tenderloin,3360,51
37.775948,-122.389857,drinking_water,publicly_accessible,6.0,Mission Bay,216,8
37.71413459070176,-122.42329114112184,restroom,publicly_accessible,10.0,McLaren Park,11,1
37.765245,-122.388254,drinking_water,publicly_accessible,6.0,Potrero Hill,98,2
37.74428399,-122.41949464,drinking_water,publicly_accessible,9.0,Bernal Heights,327,7
37.75014599,-122.46853686,drinking_water,publicly_accessible,7.0,Inner Sunset,68,1
37.76054095,-122.39077737,drinking_water,publicly_accessible,10.0,Potrero Hill,213,3
37.7627732,-122.4348053,restroom,publicly_accessible,8.0,Castro/Upper Market,1473,2
37.76632519,-122.46658709,drinking_water,publicly_accessible,7.0,Golden Gate Park,94,14
37.72209608,-122.42064775,drinking_water,publicly_accessible,9.0,McLaren Park,4,14
37.76948148,-122.46254139,drinking_water,publicly_accessible,,,72,9
37.78078552,-122.42681555,drinking_water,publicly_accessible,5.0,Western Addition,1439,15
37.76609581,-122.50844351,drinking_water,publicly_accessible,4.0,Golden Gate Park,45,56
37.76940617,-122.43356965,drinking_water,limited_access,8.0,Haight Ashbury,1236,4
37.71489675900471,-122.43204290963838,restroom,publicly_accessible,11.0,Excelsior,26,0
37.79129,-122.399052,drinking_water,publicly_accessible,3.0,Financial District/South Beach,846,12
37.760811905460336,-122.42771000970993,restroom,publicly_accessible,8.0,Castro/Upper Market,1115,0
37.75003212278121,-122.40660090433184,restroom,publicly_accessible,9.0,Mission,1065,14
37.76473973,-122.39131882,drinking_water,publicly_accessible,6.0,Potrero Hill,217,1
37.72518013090619,-122.44422317580953,restroom,publicly_accessible,11.0,Outer Mission,47,14
37.70863367,-122.45545232,drinking_water,publicly_accessible,11.0,Outer Mission,20,17
37.74424931,-122.44036074,drinking_water,publicly_accessible,8.0,Glen Park,18,5
37.75022804200006,-122.43509024199994,drinking_water,limited_access,8.0,Noe Valley,48,0
37.752094240000005,-122.46505759,drinking_water,publicly_accessible,7.0,Inner Sunset,21,0
37.7594717,-122.42710577,drinking_water,publicly_accessible,8.0,Castro/Upper Market,804,0
37.74198175,-122.41632773,drinking_water,publicly_accessible,9.0,Bernal Heights,120,9
37.7649465,-122.4200173,restroom,publicly_accessible,9.0,Mission,2364,27
37.77571849,-122.43461824,drinking_water,publicly_accessible,5.0,Hayes Valley,467,2
37.78749354,-122.46841839,drinking_water,publicly_accessible,1.0,Inner Richmond,90,9
37.76480722,-122.40910427,drinking_water,publicly_accessible,9.0,Mission,2055,100
37.79897,-122.39703,drinking_water,publicly_accessible,3.0,Financial District/South Beach,196,12
37.77187868672216,-122.45481948259614,restroom,limited_access,1.0,Golden Gate Park,173,20
37.809195,-122.416145,restroom,limited_access,3.0,North Beach,109,15
37.73388037458533,-122.44827767552806,restroom,publicly_accessible,7.0,West of Twin Peaks,33,0
37.735292,-122.376172,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,9,12
37.78891097000008,-122.44485234499996,drinking_water,limited_access,2.0,Pacific Heights,142,10
37.71335158908368,-122.41572366681596,restroom,publicly_accessible,10.0,McLaren Park,7,9
37.75822049006592,-122.4127976783385,restroom,publicly_accessible,9.0,Mission,1117,27
37.80253081500007,-122.41313485899995,drinking_water,limited_access,3.0,North Beach,288,9
37.79118303,-122.43717433,drinking_water,publicly_accessible,2.0,Pacific Heights,190,0
37.77239053,-122.46012938,drinking_water,publicly_accessible,1.0,Golden Gate Park,72,10
37.73177922000001,-122.3812578,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,24,45
37.76616718,-122.45630313,drinking_water,publicly_accessible,5.0,Golden Gate Park,134,7
37.778694,-122.387639,restroom,publicly_accessible,6.0,Mission Bay,137,2
37.77310559016735,-122.49848816074775,restroom,publicly_accessible,1.0,Outer Richmond,25,9
37.783704740000005,-122.4350831,drinking_water,publicly_accessible,5.0,Western Addition,555,9
37.80663633684421,-122.44262145562116,restroom,limited_access,,Marina,35,0
37.740119,-122.37597,drinking_water,publicly_accessible,10.0,Bayview Hunters Point,1,8
37.75774134081306,-122.41510303771898,restroom,publicly_accessible,9.0,Mission,1069,16
37.811076,-122.410559,restroom,publicly_accessible,3.0,North Beach,35,7
37.76408455,-122.41599352,drinking_water,publicly_accessible,9.0,Mission,2743,64
37.74066815988966,-122.44236800766512,restroom,publicly_accessible,8.0,Glen Park,16,1
37.78685506,-122.47042906,drinking_water,publicly_accessible,1.0,Inner Richmond,103,4
37.71599531472845,-122.42456403444784,restroom,publicly_accessible,10.0,McLaren Park,13,5
37.78659464,-122.39431446,drinking_water,publicly_accessible,6.0,Financial District/South Beach,590,24
37.77990307,-122.4173059,drinking_water,limited_access,5.0,Tenderloin,5171,51
37.741426624578615,-122.50707979596514,restroom,publicly_accessible,4.0,Sunset/Parkside,26,28
37.776348,-122.388505,restroom,publicly_accessible,6.0,Mission Bay,160,3
